iter	Accuracy	MultiClass
574	0.8660084626	0.5298310689
575	0.8660084626	0.5293274069
576	0.8669487541	0.5289239493
577	0.8678890456	0.5286223031
578	0.8674188999	0.5281379818
579	0.8669487541	0.5277055992
580	0.8674188999	0.5271269274
581	0.8674188999	0.5267241011
582	0.8688293371	0.5263696553
583	0.8697696286	0.5259243598
584	0.8707099201	0.5256032007
585	0.8692994828	0.5249662771
586	0.8702397743	0.5244770776
587	0.8702397743	0.5241687167
588	0.8707099201	0.523750854
589	0.8711800658	0.5234111576
590	0.8711800658	0.5231429702
591	0.8711800658	0.5226782192
592	0.8707099201	0.5222979475
593	0.8716502116	0.5218936865
594	0.8735307945	0.5213289032
595	0.8730606488	0.520557226
596	0.874471086	0.520294089
597	0.876351669	0.5198432266
598	0.8768218148	0.5195555837
599	0.8754113775	0.5192157152
600	0.8740009403	0.5189339262
601	0.876351669	0.518289427
602	0.8772919605	0.5179418681
603	0.876351669	0.5172651154
604	0.876351669	0.5170227539
605	0.8772919605	0.516703833
606	0.8768218148	0.5161905867
607	0.8768218148	0.5158766014
608	0.876351669	0.5155323712
609	0.8768218148	0.515239391
610	0.876351669	0.5149764261
611	0.878232252	0.5145738868
612	0.8791725435	0.5142528998
613	0.8791725435	0.5139862046
614	0.8787023977	0.5135592742
615	0.8791725435	0.5132695652
616	0.8772919605	0.5128856779
617	0.8796426892	0.5126564015
618	0.880112835	0.5119731062
619	0.8810531265	0.5113174733
620	0.8829337094	0.5110679953
621	0.8834038552	0.5106686698
622	0.8829337094	0.5103907834
623	0.8815232722	0.5099770528
624	0.8815232722	0.509780891
625	0.8815232722	0.5092404988
626	0.8829337094	0.5088533402
627	0.8810531265	0.5084998701
628	0.8834038552	0.5081683806
629	0.8834038552	0.5078408511
630	0.8829337094	0.5074700489
631	0.8848142924	0.5068381757
632	0.8852844382	0.5064896412
633	0.8838740009	0.5060612186
634	0.8843441467	0.505598591
635	0.8843441467	0.5052469574
636	0.8843441467	0.5050461468
637	0.8843441467	0.5047047861
638	0.8848142924	0.5044100268
639	0.8834038552	0.5038870815
640	0.8838740009	0.5036096541
641	0.8824635637	0.5032542901
642	0.8824635637	0.5028753384
643	0.881993418	0.5024965015
644	0.8829337094	0.5021273636
645	0.8824635637	0.5017949559
646	0.8824635637	0.50139718
647	0.8815232722	0.5012011328
648	0.8810531265	0.5009655435
649	0.8834038552	0.5006092611
650	0.8843441467	0.5003745326
651	0.8843441467	0.4999570143
652	0.8843441467	0.4996249509
653	0.8843441467	0.4988841499
654	0.8848142924	0.4984611795
655	0.8857545839	0.4980649531
656	0.8848142924	0.4976883544
657	0.8852844382	0.4973486581
658	0.8857545839	0.4970789211
659	0.8848142924	0.4966341421
660	0.8852844382	0.4962915188
661	0.8848142924	0.4961109673
662	0.8857545839	0.4958149453
663	0.8857545839	0.4954011574
664	0.8857545839	0.495050442
665	0.8862247297	0.4946383757
666	0.8871650212	0.4941381572
667	0.8866948754	0.4937213275
668	0.8895157499	0.4932779833
669	0.8899858956	0.4928077802
670	0.8895157499	0.4925831524
671	0.8895157499	0.4922326666
672	0.8895157499	0.4917508131
673	0.8899858956	0.4911311068
